週,1922: (台灣)
2022-01-02,16
2022-01-09,98
2022-01-16,100
2022-01-23,78
2022-01-30,14
2022-02-06,78
2022-02-13,38
2022-02-20,23
2022-02-27,16
2022-03-06,11
2022-03-13,8
2022-03-20,8
2022-03-27,9
2022-04-03,10
2022-04-10,9
2022-04-17,14
2022-04-24,10
2022-05-01,7
2022-05-08,6
2022-05-15,6
2022-05-22,5
2022-05-29,3
2022-06-05,4
2022-06-12,4
2022-06-19,3
2022-06-26,2
2022-07-03,2
2022-07-10,1
2022-07-17,2
2022-07-24,2
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,2
2022-09-18,1
2022-09-25,1
2022-10-02,2
2022-10-09,2
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,0
2022-12-04,1
2022-12-11,0
2022-12-18,1
2022-12-25,1
