週,地震: (台灣)
2022-01-02,23
2022-01-09,3
2022-01-16,4
2022-01-23,6
2022-01-30,8
2022-02-06,14
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,7
2022-03-13,16
2022-03-20,61
2022-03-27,7
2022-04-03,6
2022-04-10,4
2022-04-17,5
2022-04-24,3
2022-05-01,2
2022-05-08,9
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,12
2022-06-26,5
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,5
2022-07-31,2
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,4
2022-09-11,34
2022-09-18,100
2022-09-25,7
2022-10-02,5
2022-10-09,20
2022-10-16,2
2022-10-23,6
2022-10-30,6
2022-11-06,2
2022-11-13,5
2022-11-20,9
2022-11-27,3
2022-12-04,7
2022-12-11,14
2022-12-18,4
2022-12-25,2
