date,val
2022-01-02,1
2022-01-09,1
2022-01-16,2
2022-01-23,6
2022-01-30,2
2022-02-06,6
2022-02-13,17
2022-02-20,100
2022-02-27,94
2022-03-06,45
2022-03-13,28
2022-03-20,17
2022-03-27,12
2022-04-03,11
2022-04-10,10
2022-04-17,9
2022-04-24,7
2022-05-01,6
2022-05-08,6
2022-05-15,5
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,3
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,3
2022-07-17,3
2022-07-24,2
2022-07-31,4
2022-08-07,3
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,5
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,3
2022-10-30,4
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,2
2022-12-04,2
2022-12-11,2
2022-12-18,2
2022-12-25,2
