date,val
2022-01-02,39
2022-01-09,77
2022-01-16,83
2022-01-23,71
2022-01-30,46
2022-02-06,36
2022-02-13,28
2022-02-20,22
2022-02-27,20
2022-03-06,19
2022-03-13,24
2022-03-20,23
2022-03-27,73
2022-04-03,92
2022-04-10,99
2022-04-17,100
2022-04-24,92
2022-05-01,72
2022-05-08,62
2022-05-15,59
2022-05-22,48
2022-05-29,35
2022-06-05,33
2022-06-12,29
2022-06-19,24
2022-06-26,20
2022-07-03,17
2022-07-10,16
2022-07-17,16
2022-07-24,14
2022-07-31,11
2022-08-07,12
2022-08-14,12
2022-08-21,12
2022-08-28,15
2022-09-04,13
2022-09-11,13
2022-09-18,11
2022-09-25,10
2022-10-02,12
2022-10-09,11
2022-10-16,9
2022-10-23,9
2022-10-30,10
2022-11-06,9
2022-11-13,9
2022-11-20,8
2022-11-27,9
2022-12-04,8
2022-12-11,9
2022-12-18,12
2022-12-25,14
